realwordTime,time,timeScale,speed,cruiseControlSpeed,cruiseControlOn,userSteer,userThrottle,userBrake,gameSteer,placement_x,placement_y,placement_yaw,acceleration_x,acceleration_y
2024-05-31 15:04:00.697300,0001-01-13T15:27:00Z,19.0,74.15626,74.18547,True,-0.007672058,0.0,0.0,-0.007672058,21230.8887,68.23526,0.283277661,-0.05230732,-0.05920738
2024-05-31 15:04:00.723695,0001-01-13T15:27:00Z,19.0,74.15517,74.18547,True,-0.008533439,0.0,0.0,-0.008533439,21229.8789,68.25345,0.2830432,0.007811728,-0.03760159
2024-05-31 15:04:00.749994,0001-01-13T15:27:00Z,19.0,74.1569748,74.18547,True,-0.008270021,0.0,0.0,-0.008270021,21229.543,68.25952,0.282960027,0.0476423353,-0.02948973
2024-05-31 15:04:00.776987,0001-01-13T15:27:00Z,19.0,74.15636,74.18547,True,-0.00780235976,0.0,0.0,-0.00780235976,21228.8711,68.27162,0.2827973,0.0471721068,-0.0153413154
2024-05-31 15:04:00.802741,0001-01-13T15:27:00Z,19.0,74.1573,74.18547,True,-0.008026394,0.0,0.0,-0.008026394,21228.5352,68.27765,0.282723248,0.018005088,-0.0103777787
2024-05-31 15:04:00.828856,0001-01-13T15:27:00Z,19.0,74.1570358,74.18547,True,-0.008401595,0.0,0.0,-0.008401595,21228.1973,68.2836761,0.282652527,-0.005263984,-0.00646848138
2024-05-31 15:04:00.854421,0001-01-13T15:27:00Z,19.0,74.15708,74.18547,True,-0.008439237,0.0,0.0,-0.008439237,21227.8613,68.2897,0.282581836,-0.0122231422,-0.00297199283
2024-05-31 15:04:00.882230,0001-01-13T15:27:00Z,19.0,74.15944,74.18547,True,-0.00830758549,0.0,0.0,-0.00830758549,21227.19,68.30174,0.282430142,0.0108162332,0.00291730068
2024-05-31 15:04:00.907864,0001-01-13T15:27:00Z,19.0,74.16018,74.18547,True,-0.009139499,0.0,0.0,-0.009139499,21226.18,68.31975,0.2821781,0.002194084,0.0016877267
2024-05-31 15:04:00.934490,0001-01-13T15:27:00Z,19.0,74.16018,74.18547,True,-0.009139499,0.0,0.0,-0.009139499,21226.18,68.31975,0.2821781,0.002194084,0.0016877267
2024-05-31 15:04:00.960301,0001-01-13T15:27:00Z,19.0,74.16,74.18547,True,-0.0102706086,0.0,0.0,-0.0102706086,21225.5059,68.33165,0.282000452,0.05583766,-0.0006227314
2024-05-31 15:04:00.987709,0001-01-13T15:27:00Z,19.0,74.16,74.18547,True,-0.0102706086,0.0,0.0,-0.0102706086,21225.5059,68.33165,0.282000452,0.05583766,-0.0006227314
2024-05-31 15:04:01.040730,0001-01-13T15:27:00Z,19.0,74.16343,74.18547,True,-0.0113986488,0.0,0.0,-0.0113986488,21224.1582,68.35526,0.281587183,0.15587014,0.0136706177
2024-05-31 15:04:01.067223,0001-01-13T15:27:00Z,19.0,74.1627655,74.18547,True,-0.0113986488,0.0,0.0,-0.0113986488,21223.82,68.36113,0.2814767,0.1423605,0.0153581519
2024-05-31 15:04:01.084058,0001-01-13T15:27:00Z,19.0,74.1627655,74.18547,True,-0.0113986488,0.0,0.0,-0.0113986488,21223.82,68.36113,0.2814767,0.1423605,0.0153581519
2024-05-31 15:04:01.093476,0001-01-13T15:27:00Z,19.0,74.16208,74.18547,True,-0.0109300185,0.0,0.0,-0.0109300185,21223.1465,68.3728,0.281255126,0.11693415,0.0122932484
2024-05-31 15:04:01.121379,0001-01-13T15:27:00Z,19.0,74.16208,74.18547,True,-0.0109300185,0.0,0.0,-0.0109300185,21223.1465,68.3728,0.281255126,0.11693415,0.0122932484
2024-05-31 15:04:01.146553,0001-01-13T15:27:00Z,19.0,74.16691,74.18547,True,-0.01067726,0.0,0.0,-0.01067726,21222.1348,68.39008,0.280950576,0.019402,0.0317748226
2024-05-31 15:04:01.171893,0001-01-13T15:27:00Z,19.0,74.1704,74.18547,True,-0.01067726,0.0,0.0,-0.01067726,21221.7988,68.39586,0.2808559,-0.016789332,0.04634615
2024-05-31 15:04:01.198525,0001-01-13T15:27:00Z,19.0,74.1809845,74.18547,True,-0.009520989,0.0,0.0,-0.009520989,21221.123,68.40755,0.280667037,-0.05520051,0.0762009546
